country,location_name,n_obs,first_date,last_date,span_days,n_gaps
Myanmar,Abazu,3,2026-06-07 00:00:00+00:00,2026-06-09 00:00:00+00:00,2,0
United States of America,New York,3,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Australia,Melbourne,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Maldives,Male,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Brazil,Sao Paulo,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Togo,Lome,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Colombia,Bogota,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Paraguay,Asuncion,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Ethiopia,Addis Abeba,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Kenya,Mombasa,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Kosovo,Pristina,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Indonesia,Bali,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Vietnam,Ho Chi Minh City,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Indonesia,Surabaya,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Lao People's Democratic Republic,Vientiane,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Libya,Tripoli,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Jamaica,Newport East,2,2026-06-07 00:00:00+00:00,2026-06-09 00:00:00+00:00,2,1
Cambodia,Phnum Penh,2,2024-06-25 00:00:00+00:00,2026-06-04 00:00:00+00:00,709,708
Tonga,Nuku'alofa,2,2024-06-26 00:00:00+00:00,2026-06-04 00:00:00+00:00,708,707
Komoren,Moroni,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Kuwait,Kuwait,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Jemen,Sanaa,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
United States of America,Grenada,1,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00,0,0
United States of America,Moroni,1,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00,0,0
United States of America,Palau,1,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00,0,0
Inde,New Delhi,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Letonia,Riga,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Polônia,Moldova,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Philippines,Kiyabo,1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
Mexique,Mexico (Grupo Mexico),1,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,0,0
